                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.6978,                 1.7242,                 2.0459,                0.60859,                0.50758,                0.55803,                0.23248,                 1.5811,                 1.5451,                 2.1157,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7075,                 1.7288,                 2.0437,                0.70135,                0.53374,                0.60625,                0.25389,                 1.6785,                 1.6793,                 2.1679,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6893,                 1.6866,                 2.0121,                0.77658,                0.51515,                0.59642,                0.27196,                 1.6504,                 1.6011,                 2.1338,                0.00101,                0.00101,                0.00101
                     52,                  1.649,                 1.6161,                 1.9595,                 0.7067,                0.59091,                0.61193,                0.26349,                 1.7074,                 2.0784,                 2.2722,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7109,                 1.6814,                 2.0358,                0.62506,                0.56061,                0.58791,                0.27967,                 1.5736,                  1.723,                 2.0955,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.687,                 1.6632,                 2.0011,                 0.7417,                0.53788,                0.61337,                0.29027,                 1.6282,                 1.6388,                 2.1046,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6583,                  1.595,                 1.9299,                 0.6955,                0.63636,                0.63335,                 0.2846,                 1.4852,                 1.4336,                  2.048,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6313,                 1.6289,                 1.9797,                0.67305,                0.61364,                0.59288,                0.25079,                 1.7032,                 1.6226,                 2.1984,               0.000911,               0.000911,               0.000911
                     57,                 1.5743,                 1.5917,                 1.9579,                0.59798,                0.59848,                0.58403,                0.21556,                 1.6502,                 1.7204,                 2.1802,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6574,                 1.6416,                 1.9948,                 0.6866,                0.56061,                0.59104,                0.25061,                 1.6796,                 1.5028,                  2.186,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6443,                 1.6705,                 2.0053,                0.68719,                0.64394,                0.67821,                0.31787,                 1.4367,                 1.3972,                  2.039,              0.0008516,              0.0008516,              0.0008516
                     60,                   1.58,                 1.5817,                 1.9251,                0.67232,                0.62879,                 0.6744,                0.30178,                 1.5621,                 1.3748,                 2.0658,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6223,                 1.6566,                 1.9792,                0.66225,                0.59848,                0.63292,                0.29372,                 1.5753,                 1.4955,                  2.137,               0.000812,               0.000812,               0.000812
                     62,                 1.5777,                 1.5375,                 1.8936,                0.74817,                0.60771,                0.65502,                0.31216,                 1.7357,                 1.5606,                 2.1974,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.5337,                 1.4654,                 1.8744,                 0.7769,                0.63317,                0.69918,                0.31418,                  1.568,                 1.3939,                  2.113,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5376,                 1.5483,                 1.8899,                0.77211,                0.61364,                0.68708,                0.32568,                 1.4237,                 1.3885,                 2.0253,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.5356,                 1.5312,                 1.9159,                0.77632,                0.64394,                0.69491,                0.32033,                 1.7682,                 1.4686,                 2.2383,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5345,                 1.5159,                 1.8673,                0.71434,                0.64413,                0.69012,                0.33236,                 1.6145,                 1.4007,                 2.1037,               0.000713,               0.000713,               0.000713
                     67,                 1.5332,                 1.5198,                    1.9,                0.68133,                0.67424,                0.66152,                 0.2831,                 1.5741,                 1.3574,                 2.1171,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.5325,                 1.4675,                 1.8646,                0.80306,                0.61785,                0.67981,                0.32734,                 1.6473,                 1.3712,                 2.1155,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.5232,                 1.5424,                 1.9224,                0.74735,                0.67424,                0.69357,                0.33425,                 1.6781,                 1.4059,                 2.1664,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.5156,                 1.5061,                 1.8674,                0.72508,                0.63939,                0.66894,                0.31209,                 1.7097,                 1.4594,                 2.2022,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4983,                 1.4585,                 1.8305,                0.75757,                0.62121,                0.66475,                0.31532,                 1.5832,                 1.3867,                  2.046,               0.000614,               0.000614,               0.000614
                     72,                 1.4668,                 1.4602,                 1.8435,                0.77844,                0.63636,                0.68725,                0.33211,                 1.6021,                 1.4515,                 2.1228,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4622,                 1.4069,                 1.8317,                0.84295,                0.60606,                0.71736,                0.34366,                 1.6493,                  1.353,                 2.1275,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4473,                 1.3909,                 1.7914,                0.75211,                0.64358,                0.69718,                0.33139,                 1.7038,                 1.3846,                 2.1978,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4261,                 1.3602,                 1.7674,                0.73796,                0.64008,                0.67597,                0.30463,                 1.5462,                 1.3017,                 2.0532,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4358,                 1.3779,                  1.831,                0.79116,                0.68939,                0.69988,                0.33465,                 1.5246,                 1.3149,                 2.0455,               0.000515,               0.000515,               0.000515
                     77,                  1.418,                 1.4158,                 1.8011,                 0.7044,                0.61378,                0.65891,                0.32806,                 1.5676,                 1.4966,                 2.0771,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4037,                 1.4337,                  1.827,                0.70486,                0.73485,                0.73116,                0.34012,                 1.4688,                 1.2383,                 2.0391,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4155,                 1.3915,                 1.8078,                0.88045,                0.56818,                0.69303,                0.35079,                 1.6578,                  1.399,                 2.1493,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.4624,                 1.4189,                 1.8294,                0.75408,                0.64394,                0.71016,                0.35952,                 1.6194,                 1.3452,                 2.1301,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3721,                 1.3943,                 1.7962,                0.81079,                0.68182,                0.71635,                 0.3671,                 1.6258,                 1.3214,                  2.124,               0.000416,               0.000416,               0.000416
                     82,                  1.388,                 1.3814,                 1.7823,                0.77738,                0.69697,                0.71901,                0.35897,                 1.6609,                 1.2765,                 2.1653,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.4067,                 1.3331,                 1.7559,                0.79579,                0.68182,                0.72368,                0.33766,                 1.4653,                  1.291,                 2.0539,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3557,                 1.3478,                 1.7619,                0.78238,                0.68182,                 0.6863,                0.36159,                 1.6021,                 1.2893,                 2.0684,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3612,                 1.3061,                 1.7412,                0.82021,                0.67424,                0.71872,                0.36256,                 1.5255,                 1.2903,                  2.026,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3861,                 1.3442,                 1.7797,                0.80462,                0.68638,                0.71906,                 0.3461,                  1.628,                 1.3767,                 2.1089,               0.000317,               0.000317,               0.000317
                     87,                 1.3736,                 1.3869,                 1.7966,                 0.7742,                 0.7273,                 0.7512,                0.36321,                 1.4052,                 1.2226,                 1.9678,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3688,                 1.3269,                 1.7369,                0.77328,                0.72727,                0.73143,                0.37687,                 1.6328,                 1.2198,                 2.1135,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3459,                 1.3764,                 1.7831,                0.80075,                0.70025,                0.72126,                0.35818,                 1.6391,                 1.2587,                 2.1119,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3338,                 1.3774,                 1.7389,                0.72482,                0.63636,                0.67169,                0.33979,                 1.7657,                 1.4295,                  2.277,              0.0002378,              0.0002378,              0.0002378
                     91,                  1.354,                 1.3953,                  1.778,                 0.8005,                0.72727,                0.75291,                0.39196,                 1.5105,                 1.1705,                 2.0372,               0.000218,               0.000218,               0.000218
                     92,                  1.306,                 1.2988,                 1.7349,                0.79928,                0.72404,                0.74153,                 0.3921,                 1.3879,                 1.1874,                 1.9342,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.3003,                 1.3218,                 1.7508,                0.78214,                0.74242,                0.72328,                0.36693,                 1.4949,                 1.1868,                 2.0499,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2881,                 1.3115,                 1.7109,                0.77786,                 0.7197,                0.72145,                0.37333,                 1.5222,                 1.2012,                 2.0821,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2788,                 1.2958,                  1.748,                0.76083,                  0.723,                0.73011,                0.36716,                 1.5583,                 1.2074,                    2.1,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.2901,                 1.2635,                 1.6922,                0.80983,                0.70976,                 0.7444,                0.37703,                 1.6043,                 1.2105,                  2.146,               0.000119,               0.000119,               0.000119
                     97,                 1.2531,                 1.2507,                 1.6963,                0.80322,                0.74242,                0.74429,                0.37945,                 1.5293,                 1.2138,                 2.0859,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2338,                  1.216,                 1.6609,                0.80994,                   0.75,                0.74404,                0.38366,                 1.5443,                 1.2003,                 2.0923,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.237,                 1.2192,                 1.6626,                0.80816,                0.75758,                0.74972,                0.39421,                 1.5966,                 1.1747,                  2.129,               5.96e-05,               5.96e-05,               5.96e-05
